,диагональ,ширина,высота,дисплей,марка_процессора,семейство_процессора,видеокарта,оперативная_память,память_жесткого_диска,о_с,ядра,кэш_память,макс_такт_частота,цена
0,11.6,1366,768,3,2,1,5,4,64,4,2,2,2.4,15999
1,17.3,1920,1080,2,2,7,13,16,512,6,8,12,4.4,109999
2,14.0,1366,768,3,2,1,1,4,64,2,2,2,2.4,15999
3,15.6,1920,1080,3,2,8,13,16,512,5,6,12,4.5,94999
4,11.6,1366,768,3,2,1,5,4,64,4,2,2,2.4,15499
5,15.6,3200,1800,3,2,1,3,4,128,2,2,4,2.8,19999
6,14.1,1920,1080,3,2,1,3,4,128,4,2,4,2.8,17999
7,13.5,3000,2000,3,2,2,5,4,128,4,4,2,2.64,19999
8,15.6,1366,768,1,2,2,5,4,128,4,4,2,2.64,18999
9,15.6,1920,1080,3,1,5,7,8,512,3,6,8,4.0,49999
10,15.6,1920,1080,2,2,7,11,16,512,0,8,12,4.4,69999
11,15.6,1920,1080,2,2,7,13,16,512,0,8,12,4.4,89999
12,16.0,2560,1600,3,2,8,15,32,1024,5,14,24,4.7,199999
13,15.6,1920,1080,3,1,4,4,8,256,6,2,4,3.5,35999
14,15.6,1366,768,1,2,2,5,4,128,4,4,2,2.64,18999
15,16.0,2560,1600,3,2,9,16,32,2048,5,14,24,5.0,249999
16,15.6,1920,1080,2,2,7,11,16,512,5,8,12,4.4,79999
17,11.6,1366,768,3,2,1,5,4,64,4,2,2,2.4,15999
18,14.0,1920,1080,3,2,1,1,4,128,4,2,2,2.4,15999
19,15.6,1920,1080,3,1,5,7,8,512,3,6,8,4.0,49999
20,15.6,1366,768,1,2,2,5,4,128,4,4,2,2.64,18999
21,15.6,1366,768,1,2,2,5,4,128,4,4,2,2.64,18999
22,15.6,1920,1080,3,2,2,5,4,128,2,4,2,2.64,19999
23,11.6,1366,768,3,2,1,5,4,64,4,2,2,2.4,15999
24,15.6,1920,1080,2,2,7,11,16,512,0,8,12,4.4,69999
